No,Stasiun,Singkatan,Wilayah,Transaksi,1_Okt,2_Okt,3_Okt,4_Okt,5_Okt,6_Okt,7_Okt,8_Okt,9_Okt,10_Okt,11_Okt,12_Okt,13_Okt,14_Okt,15_Okt,16_Okt,17_Okt,18_Okt,19_Okt,20_Okt,21_Okt,22_Okt,23_Okt,24_Okt,25_Okt,26_Okt,27_Okt,28_Okt,29_Okt,30_Okt,31_Okt,Total_Volume
28,MALANG,ML,WILAYAH 8,GO SHOW + KAI ACCESS,3104.0,2624.0,2386.0,2165.0,2905.0,3128.0,3255.0,3012.0,2615.0,2339.0,2635.0,3212.0,3131.0,3236.0,2942.0,2930.0,2659.0,2773.0,3483.0,3240.0,3341.0,2856.0,2614.0,2375.0,2568.0,2985.0,3208.0,3178.0,2870.0,2651.0,2133.0,88553
29,WONOKROMO,WO,WILAYAH 8,GO SHOW + KAI ACCESS,3410.0,2390.0,2374.0,2367.0,3297.0,3648.0,3498.0,3551.0,2510.0,2165.0,2528.0,3243.0,3752.0,3449.0,3355.0,2486.0,2227.0,2365.0,3024.0,3654.0,3624.0,3287.0,2486.0,2643.0,2692.0,3310.0,3567.0,3569.0,3236.0,2353.0,2185.0,92245
30,SEPANJANG,SPJ,WILAYAH 8,KAI ACCESS,448.0,343.0,277.0,324.0,361.0,498.0,540.0,487.0,378.0,300.0,275.0,345.0,472.0,556.0,463.0,353.0,289.0,314.0,338.0,479.0,487.0,506.0,398.0,270.0,324.0,350.0,529.0,530.0,514.0,342.0,252.0,12342
31,KRIAN,KRN,WILAYAH 8,KAI ACCESS,609.0,382.0,295.0,341.0,330.0,401.0,451.0,520.0,393.0,313.0,299.0,333.0,360.0,500.0,511.0,443.0,340.0,313.0,316.0,367.0,533.0,481.0,367.0,321.0,317.0,361.0,405.0,552.0,515.0,317.0,456.0,12442
32,TARIK,TRK,WILAYAH 8,KAI ACCESS,235.0,219.0,149.0,129.0,143.0,147.0,208.0,216.0,215.0,147.0,153.0,140.0,157.0,188.0,239.0,221.0,152.0,154.0,140.0,161.0,180.0,246.0,232.0,174.0,157.0,291.0,170.0,249.0,231.0,195.0,149.0,5787
33,TULANGAN,TLN,WILAYAH 8,KAI ACCESS,37.0,11.0,12.0,12.0,15.0,13.0,16.0,30.0,12.0,15.0,8.0,12.0,18.0,26.0,23.0,15.0,16.0,10.0,17.0,8.0,29.0,30.0,17.0,22.0,13.0,8.0,6.0,25.0,28.0,5.0,10.0,519
34,MOJOKERTO,MR,WILAYAH 8,GO SHOW + KAI ACCESS,1563.0,1653.0,1266.0,1358.0,1344.0,1457.0,1619.0,1601.0,1471.0,1443.0,1450.0,1150.0,1673.0,1607.0,1647.0,1491.0,1476.0,1513.0,1247.0,1751.0,1581.0,1611.0,1476.0,1443.0,1486.0,1443.0,1696.0,1450.0,1704.0,1506.0,1279.0,46455
35,CURAHMALANG,CRM,WILAYAH 8,KAI ACCESS,53.0,98.0,62.0,64.0,70.0,71.0,67.0,89.0,91.0,62.0,59.0,53.0,66.0,61.0,85.0,98.0,79.0,65.0,64.0,51.0,81.0,74.0,103.0,56.0,57.0,63.0,71.0,87.0,72.0,113.0,59.0,2244
36,SUMOBITO,SBO,WILAYAH 8,KAI ACCESS,249.0,205.0,175.0,147.0,125.0,133.0,188.0,189.0,195.0,166.0,152.0,130.0,156.0,167.0,157.0,211.0,156.0,128.0,164.0,141.0,144.0,206.0,208.0,163.0,161.0,146.0,139.0,180.0,183.0,223.0,138.0,5225
37,PETERONGAN,PTR,WILAYAH 8,KAI ACCESS,268.0,315.0,215.0,157.0,193.0,251.0,200.0,290.0,245.0,203.0,162.0,201.0,262.0,178.0,251.0,255.0,155.0,148.0,197.0,212.0,257.0,241.0,283.0,204.0,183.0,255.0,214.0,205.0,290.0,278.0,203.0,6971
38,JOMBANG,JG,WILAYAH 8,GO SHOW + KAI ACCESS,1254.0,1092.0,808.0,941.0,780.0,1117.0,1148.0,1255.0,1115.0,851.0,1146.0,820.0,1094.0,1069.0,1418.0,1090.0,880.0,775.0,852.0,1083.0,933.0,1214.0,1111.0,1043.0,830.0,831.0,927.0,1044.0,1225.0,1093.0,1143.0,31982
39,SEMBUNG,SMB,WILAYAH 8,KAI ACCESS,245.0,244.0,138.0,123.0,155.0,185.0,152.0,205.0,212.0,138.0,142.0,111.0,146.0,205.0,246.0,237.0,162.0,142.0,105.0,162.0,182.0,224.0,213.0,155.0,155.0,128.0,131.0,130.0,255.0,220.0,146.0,5394
40,KERTOSONO,KTS,WILAYAH 8,GO SHOW + KAI ACCESS,1111.0,865.0,614.0,514.0,531.0,552.0,905.0,1083.0,848.0,537.0,582.0,500.0,649.0,782.0,951.0,922.0,606.0,728.0,475.0,679.0,822.0,1010.0,894.0,647.0,590.0,624.0,647.0,739.0,953.0,870.0,731.0,22961
41,PAPAR,PPR,WILAYAH 8,GO SHOW + KAI ACCESS,430.0,288.0,459.0,181.0,478.0,275.0,319.0,394.0,560.0,743.0,588.0,181.0,251.0,365.0,331.0,296.0,432.0,259.0,366.0,258.0,302.0,428.0,330.0,407.0,203.0,272.0,262.0,318.0,321.0,380.0,452.0,11129
42,PURWOASRI,PWA,WILAYAH 8,PELAYANAN KA,108.0,66.0,43.0,21.0,42.0,61.0,91.0,76.0,48.0,29.0,25.0,47.0,36.0,39.0,93.0,41.0,28.0,35.0,20.0,9.0,45.0,72.0,60.0,31.0,21.0,27.0,35.0,57.0,70.0,48.0,26.0,1450
